report_id,content_type,violation_category,action_taken,report_date
1,Post,Hate Speech,No Action,2025-11-27 17:42:55.750305
2,Comment,Hate Speech,Warning Issued,2025-11-17 17:42:55.750331
3,Post,Harassment,Removed,2025-10-16 17:42:55.750334
4,Post,Spam,No Action,2025-12-30 17:42:55.750336
5,Post,Nudity,No Action,2025-12-28 17:42:55.750338
6,Comment,Misinformation,Warning Issued,2025-12-21 17:42:55.750342
7,Post,Spam,Removed,2025-10-13 17:42:55.750344
8,Post,Misinformation,Removed,2025-12-27 17:42:55.750347
9,Post,Harassment,No Action,2025-10-11 17:42:55.750354
10,Comment,Harassment,Removed,2025-11-18 17:42:55.750356
11,Post,Hate Speech,No Action,2025-12-24 17:42:55.750358
12,Post,Nudity,Removed,2025-12-05 17:42:55.750359
13,Post,Misinformation,No Action,2025-10-10 17:42:55.750361
14,Post,Spam,Removed,2025-11-27 17:42:55.750362
15,Comment,Harassment,Warning Issued,2025-12-19 17:42:55.750364
16,Post,Hate Speech,Removed,2025-12-16 17:42:55.750365
17,Comment,Hate Speech,Removed,2025-11-05 17:42:55.750366
18,Comment,Misinformation,Warning Issued,2025-12-20 17:42:55.750368
19,Comment,Harassment,Removed,2025-10-13 17:42:55.750369
20,Post,Nudity,Warning Issued,2025-12-11 17:42:55.750371
21,Comment,Harassment,Removed,2025-12-05 17:42:55.750372
22,Post,Misinformation,No Action,2025-11-24 17:42:55.750373
23,Comment,Misinformation,No Action,2025-12-08 17:42:55.750375
24,Comment,Harassment,Removed,2025-11-16 17:42:55.750376
25,Comment,Misinformation,Removed,2025-10-19 17:42:55.750377
26,Comment,Harassment,Removed,2025-12-29 17:42:55.750379
27,Comment,Spam,No Action,2025-11-22 17:42:55.750381
28,Comment,Harassment,Removed,2025-11-14 17:42:55.750382
29,Comment,Harassment,No Action,2026-01-05 17:42:55.750384
30,Comment,Misinformation,Warning Issued,2025-10-22 17:42:55.750385
31,Post,Misinformation,No Action,2025-12-18 17:42:55.750386
32,Post,Hate Speech,No Action,2025-10-13 17:42:55.750388
33,Comment,Hate Speech,Warning Issued,2025-11-09 17:42:55.750389
34,Comment,Spam,No Action,2025-10-12 17:42:55.750391
35,Comment,Hate Speech,Removed,2025-10-28 17:42:55.750393
36,Post,Harassment,Removed,2025-12-27 17:42:55.750394
37,Comment,Misinformation,No Action,2025-12-31 17:42:55.750395
38,Post,Hate Speech,Removed,2025-12-15 17:42:55.750397
39,Post,Hate Speech,No Action,2025-11-17 17:42:55.750399
40,Post,Spam,Removed,2025-10-21 17:42:55.750400
41,Post,Spam,Removed,2025-12-24 17:42:55.750401
42,Post,Harassment,No Action,2025-11-30 17:42:55.750403
43,Comment,Misinformation,Removed,2025-11-16 17:42:55.750404
44,Comment,Spam,No Action,2025-12-16 17:42:55.750405
45,Comment,Hate Speech,Removed,2025-11-20 17:42:55.750407
46,Comment,Misinformation,Removed,2025-10-18 17:42:55.750408
47,Comment,Misinformation,Warning Issued,2025-10-19 17:42:55.750409
48,Post,Hate Speech,Warning Issued,2025-10-25 17:42:55.750411
49,Comment,Spam,No Action,2025-11-24 17:42:55.750412
50,Comment,Hate Speech,Warning Issued,2025-10-17 17:42:55.750413
51,Post,Misinformation,No Action,2026-01-04 17:42:55.750414
52,Comment,Nudity,Warning Issued,2025-12-28 17:42:55.750416
53,Post,Nudity,Removed,2025-10-11 17:42:55.750417
54,Comment,Harassment,No Action,2025-12-15 17:42:55.750419
55,Post,Hate Speech,No Action,2025-11-01 17:42:55.750420
56,Comment,Hate Speech,Removed,2025-12-14 17:42:55.750421
57,Comment,Harassment,No Action,2025-12-01 17:42:55.750423
58,Post,Harassment,No Action,2025-12-14 17:42:55.750424
59,Post,Harassment,Warning Issued,2025-11-29 17:42:55.750425
60,Post,Misinformation,No Action,2025-11-19 17:42:55.750427
61,Post,Hate Speech,Removed,2025-11-07 17:42:55.750428
62,Post,Misinformation,Warning Issued,2025-10-13 17:42:55.750429
63,Post,Harassment,Warning Issued,2025-12-21 17:42:55.750430
64,Post,Hate Speech,Removed,2025-10-17 17:42:55.750432
65,Post,Misinformation,Removed,2025-12-23 17:42:55.750433
66,Comment,Misinformation,Warning Issued,2025-11-22 17:42:55.750435
67,Comment,Harassment,No Action,2025-11-26 17:42:55.750436
68,Post,Hate Speech,Warning Issued,2025-12-23 17:42:55.750437
69,Comment,Harassment,Removed,2025-12-20 17:42:55.750439
70,Comment,Hate Speech,Warning Issued,2025-12-25 17:42:55.750440
71,Comment,Nudity,Removed,2026-01-06 17:42:55.750441
